BACKWARD_COUNT = 62
{"src": "event-banchao-jingying-xiyu", "src_name": "班超经营西域", "rel": "precedes", "confidence": null, "src_start": 73, "src_end": 91, "src_period": "period-eastern-han", "src_regime": null, "src_summary": "永平十六年（73年）窦固北征匈奴时，班超随军出使西域，以\"不入虎穴，焉得虎子\"之胆识杀匈奴使者镇抚鄯善、于阗、疏勒诸国，此后数十年经营西域，重建汉朝在西域的统治；永元三年（91年）班超任西域都护，永元九年（97年）遣甘英出使大秦（罗马）方向。", "tgt": "event-dougu-beixiong", "tgt_name": "窦固窦宪北伐匈奴（燕然勒石）", "tgt_start": 89, "tgt_end": 91, "tgt_period": "period-eastern-han", "tgt_regime": null, "tgt_summary": "永元元年（89年），车骑将军窦宪与耿秉等大破北匈奴于稽落山，登燕然山刻石纪功（燕然勒石）；90年再破之，91年北匈奴单于西遁，北匈奴政权瓦解。此役为东汉对北方匈奴的最后决定性胜利，但窦宪班师后权倾朝野，旋被和帝诛灭。", "relation_desc": "窦固北伐为同期对外经略"}
{"src": "event-sujun-zhi-luan", "src_name": "苏峻之乱", "rel": "precedes", "confidence": 0.6, "src_start": 327, "src_end": 329, "src_period": "period-eastern-jin", "src_regime": null, "src_summary": "咸和二年至四年（327—329年）历阳内史苏峻与祖约联合举兵，攻陷建康、逼走朝廷，后被陶侃、温峤等击败收复京城。苏峻之乱进一步确立以建康为中心的中央权威与地方军事力量的博弈格局。", "tgt": "event-shi-le-hou-zhao", "tgt_name": "石勒建立后赵", "tgt_start": 319, "tgt_end": 319, "tgt_period": "period-sixteen-kingdoms", "tgt_regime": null, "tgt_summary": "太兴二年（319年）石勒自号赵王，建立后赵政权于河北，都襄国（今河北邢台）。石勒原为汉赵部将，其自立使北方形成汉赵（前赵）与后赵并立的格局。", "relation_desc": "同时期北方后赵崛起"}
{"src": "event-sunen-luxun", "src_name": "孙恩卢循起义", "rel": "leads_to", "confidence": 0.7, "src_start": 399, "src_end": 411, "src_period": "period-eastern-jin", "src_regime": null, "src_summary": "隆安三年至义熙七年（399—411年）天师道首领孙恩、卢循相继领导东南沿海起义，孙恩一度逼近建康，402年孙恩败死，卢循续之，至411年为刘裕所灭。起义沉重打击东晋门阀世家，为刘裕崛起扫除障碍。", "tgt": "event-liuyu-beifa", "tgt_name": "刘裕北伐（灭南燕、后秦）", "tgt_start": 409, "tgt_end": 417, "tgt_period": "period-eastern-jin", "tgt_regime": null, "tgt_summary": "义熙五年至十三年（409—417年）刘裕先后北伐：409—410年灭南燕，416—417年灭后秦、克长安。刘裕北伐是东晋建国以来规模最大、战果最著的北伐，使其军政威望达到顶点，为代晋建宋奠定基础。", "relation_desc": "孙恩卢循之乱中刘裕声望鹊起"}
{"src": "event-nan-tang-jianli", "src_name": "南唐建立（李昪代吴）", "rel": "precedes", "confidence": null, "src_start": 937, "src_end": 937, "src_period": "period-five-dynasties-ten-kingdoms", "src_regime": null, "src_summary": "昇元元年（937年）吴国权臣李昪（徐知诰）代吴称帝，国号唐（南唐），都金陵（今南京）。南唐继吴而兴，据有江淮，为十国中最强盛的政权之一，与中原后晋、后汉、后周长期对峙。", "tgt": "event-shi-jingtang-dai-tang", "tgt_name": "石敬瑭灭后唐、后晋建立", "tgt_start": 936, "tgt_end": 936, "tgt_period": "period-five-dynasties-ten-kingdoms", "tgt_regime": null, "tgt_summary": "天福元年（936年）后唐河东节度使石敬瑭勾结契丹（耶律德光），以父礼事契丹并许诺割让燕云十六州，借契丹兵灭后唐，自称皇帝建国晋（后晋），都汴州。后晋是「儿皇帝」政治关系的产物。", "relation_desc": "南唐与中原政权并存"}
{"src": "event-taiping-tianguo", "src_name": "太平天国运动", "rel": "leads_to", "confidence": 0.9, "src_start": 1851, "src_end": 1864, "src_period": "period-late-qing", "src_regime": null, "src_summary": "咸丰元年至同治三年（1851—1864 年），洪秀全领导太平天国运动，建号定都、北伐西征，占据中国南部半壁，与清廷对峙十四年，同治三年（1864 年）湘军攻陷天京，运动失败。本事件为 aggregate，子事件（金田起义、定都天京、天京事变、天京陷落）经 part_of 关联。", "tgt": "event-jintian-qiyi", "tgt_name": "金田起义（太平天国建立）", "tgt_start": 1851, "tgt_end": 1851, "tgt_period": "period-late-qing", "tgt_regime": null, "tgt_summary": "咸丰元年（1851 年）1 月，洪秀全在广西桂平金田村聚众起义，建号太平天国，颁行天历，洪秀全称天王；太平天国运动由此开始。", "relation_desc": "金田起义为开端。"}
{"src": "event-agubo-geju", "src_name": "阿古柏割据南疆", "rel": "leads_to", "confidence": 0.95, "src_start": 1865, "src_end": 1877, "src_period": "period-late-qing", "src_regime": null, "src_summary": "同治四年至光绪三年（1865—1877 年），浩罕军阀阿古柏乘西北回民起义之机入疆，先后占据喀什、乌鲁木齐等南疆与北疆部分地区，建立政权并受英、俄支持；为左宗棠西征的背景。", "tgt": "event-zuozongtang-xizheng", "tgt_name": "左宗棠西征收复新疆", "tgt_start": 1876, "tgt_end": 1878, "tgt_period": "period-late-qing", "tgt_regime": null, "tgt_summary": "光绪二年至四年（1876—1878 年），左宗棠督军西征，先平北疆（乌鲁木齐）再克南疆（喀什），阿古柏败亡（1877 年），清军收复新疆大部，中原政权重新控制西域。", "relation_desc": "新疆被占促使清廷西征。"}
{"src": "event-qidan-jianguo", "src_name": "耶律阿保机建契丹（916称帝）", "rel": "precedes", "confidence": null, "src_start": 907, "src_end": 916, "src_period": "period-liao", "src_regime": null, "src_summary": "耶律阿保机907年即契丹可汗位，916年（神册元年）称帝建国（契丹），是为辽朝的前身。契丹政权在五代时期崛起于漠北，成为中原政权之外的又一大政治力量，并与五代、十国并行（§35/§36）。", "tgt": "event-houliang-dai-tang", "tgt_name": "朱温废哀帝、后梁建立、唐朝灭亡", "tgt_start": 907, "tgt_end": 907, "tgt_period": "period-five-dynasties-ten-kingdoms", "tgt_regime": null, "tgt_summary": "开平元年（907年）朱温废唐哀帝自立，国号梁（后梁），都汴州（开封），唐朝正式灭亡，中国历史进入五代十国时代。后梁代唐是唐末军阀政治的终点与五代中原政权更替的起点（§30：同时体现 Regime Transition）。", "relation_desc": "契丹与五代同期兴起"}
{"src": "event-zhengde-zhengzhi", "src_name": "正德朝政治起伏（豹房与刘瑾）", "rel": "precedes", "confidence": 0.6, "src_start": 1505, "src_end": 1521, "src_period": "period-ming", "src_regime": null, "src_summary": "正德一朝（1505—1521 年），明武宗朱厚照在位十六年，宠信宦官刘瑾（正德五年倒台）、自称\"威武大将军\"多次巡边，朝政废弛，边患与藩王问题（宁王乱）随之而来，为嘉靖朝整顿的政治背景。", "tgt": "event-ningwang-zhi-luan", "tgt_name": "宁王之乱（朱宸濠起兵）", "tgt_start": 1519, "tgt_end": 1519, "tgt_period": "period-ming", "tgt_regime": null, "tgt_summary": "正德十四年（1519 年），宁王朱宸濠在南昌起兵叛乱，王守仁（王阳明）不待朝命募集乡兵讨平，前后四十三天。", "relation_desc": "正德朝政失序下宁王起兵。"}
{"src": "event-donglin-dangzheng", "src_name": "东林党争", "rel": "leads_to", "confidence": 0.8, "src_start": 1604, "src_end": 1627, "src_period": "period-ming", "src_regime": null, "src_summary": "万历三十二年至天启末（1604—1627 年），顾宪成等以东林书院议政，与齐楚浙诸党及宦官集团反复争斗，党争贯穿万历、泰昌、天启三朝，加深明末政治内耗。", "tgt": "event-weizhongxian-zhuanquan", "tgt_name": "魏忠贤专权（天启朝政治）", "tgt_start": 1624, "tgt_end": 1627, "tgt_period": "period-ming", "tgt_regime": null, "tgt_summary": "天启四年至七年（1624—1627 年），宦官魏忠贤受天启帝宠信专权，号\"九千岁\"，打击东林党人，阉党遍布台谏，加上辽东战事与民变并起，明末政治危机全面显化。", "relation_desc": "天启朝宦官魏忠贤与东林争斗。"}
{"src": "event-chongzhen-jiwei", "src_name": "崇祯帝即位、清除魏忠贤集团", "rel": "leads_to", "confidence": 0.7, "src_start": 1627, "src_end": 1628, "src_period": "period-ming", "src_regime": null, "src_summary": "天启七年（1627 年），崇祯帝朱由检即位，随即贬逐魏忠贤并赐死，清算阉党（崇祯元年二月钦定逆案）；但明末党争、财政、边患与民变四重危机并未因此缓解。", "tgt": "event-shanxi-minbian", "tgt_name": "陕西民变扩大（明末农民战争开端）", "tgt_start": 1627, "tgt_end": 1631, "tgt_period": "period-ming", "tgt_regime": null, "tgt_summary": "天启七年至崇祯四年（1627—1631 年），陕西连年旱灾、驿卒与边兵欠饷，王二、高迎祥、李自成等相继聚众起义，民变蔓延陕甘，明朝将全力剿抚，农民战争进入长期化。", "relation_desc": "同一时期陕西民变扩大。"}
{"src": "event-song-shou-bingquan", "src_name": "宋初收兵权（罢宿将典禁兵）", "rel": "precedes", "confidence": 0.6, "src_start": 961, "src_end": 963, "src_period": "period-northern-song", "src_regime": null, "src_summary": "建隆二年至乾德元年（961—963 年），宋太祖罢去石守信、王审琦等宿将的禁军统帅职务，以\"三衙\"（殿前司、侍卫马军司、侍卫步军司）分掌禁军、枢密院掌军政，形成强干弱枝、兵权集于中央的军事制度安排，北宋开国\"杯酒释兵权\"即指此一过程。", "tgt": "event-song-tongyi-zhanzheng", "tgt_name": "北宋统一战争", "tgt_start": 962, "tgt_end": 979, "tgt_period": "period-northern-song", "tgt_regime": null, "tgt_summary": "建隆三年至太平兴国四年（962—979 年），北宋先后平定荆南（963）、后蜀（965）、南汉（971）、南唐（975），吴越纳土（978），收复北汉（979），统一中原与南方大部。本事件为 aggregate，子事件（灭荆南、灭后蜀、灭南汉、灭南唐、吴越纳土、灭北汉）经 part_of 关联。", "relation_desc": "收兵权先于大规模统一作战展开。"}
